pp,ap,mp,kp
A,new,N_A, 
A,send,N_A, 
B,receive,N_A, 
B,sign,ID_A,Pri_B
B,sign,N_A,Pri_B
B,encrypt,ID_B,Pub_A
B,sign,ID_B,Pri_B
B,new,N_B, 
B,encrypt,N_B,Pub_A
B,sign,N_B,Pri_B
B,send,ID_A,Pri_B
B,send,N_A,Pri_B
B,send,ID_B,Pub_A Pri_B
B,send,N_B,Pub_A Pri_B
A,receive,ID_A,Pri_B
A,receive,N_A,Pri_B
A,receive,ID_B,Pub_A Pri_B
A,receive,N_B,Pub_A Pri_B
A,verify,ID_A,Pub_B
A,verify,N_A,Pub_B
A,decrypt,ID_B,Pri_A
A,verify,ID_B,Pub_B
A,decrypt,N_B,Pri_A
A,verify,N_B,Pub_B
A,send,N_B, 
B,receive,N_B, 
