pp,ap,mp,kp
A,encrypt,a^x,K_AS
A,encrypt,ID_B,K_AS
A,send,ID_A, 
A,send,a^x,K_AS
A,send,ID_B,K_AS
B,receive,ID_A, 
B,receive,a^x,K_AS
B,receive,ID_B,K_AS
B,encrypt,a^x,K_AS
B,encrypt,ID_B,K_AS
B,encrypt,a^y,K_BS
B,encrypt,ID_A,K_BS
B,send,a^x,K_AS
B,send,ID_B,K_AS
B,send,a^y,K_BS
B,send,ID_A,K_BS
S,receive,a^x,K_AS
S,receive,ID_B,K_AS
S,receive,a^y,K_BS
S,receive,ID_A,K_BS
S,decrypt,a^x,K_AS
S,decrypt,ID_B,K_AS
S,decrypt,a^y,K_BS
S,decrypt,ID_A,K_BS
S,encrypt,a^x,K_AS
S,encrypt,a^y,K_AS
S,encrypt,ID_B,K_AS
S,encrypt,a^y,K_BS
S,encrypt,a^x,K_BS
S,encrypt,ID_A,K_BS
S,send,a^x,K_AS
S,send,a^y,K_AS
S,send,ID_B,K_AS
S,send,a^y,K_BS
S,send,a^x,K_BS
S,send,ID_A,K_BS
B,receive,a^x,K_AS
B,receive,a^y,K_AS
B,receive,ID_B,K_AS
B,receive,a^y,K_BS
B,receive,a^x,K_BS
B,receive,ID_A,K_BS
B,decrypt,a^y,K_BS
B,decrypt,a^x,K_BS
B,decrypt,ID_A,K_BS
B,encrypt,a^x,K_AS
B,encrypt,a^y,K_AS
B,encrypt,ID_B,K_AS
B,hash,K_AB, 
B,hash,ID_A, 
B,send,a^x,K_AS
B,send,a^y,K_AS
B,send,ID_B,K_AS
B,send,K_AB, 
B,send,ID_A, 
A,receive,a^x,K_AS
A,receive,a^y,K_AS
A,receive,ID_B,K_AS
A,receive,K_AB, 
A,receive,ID_A, 
A,decrypt,a^x,K_AS
A,decrypt,a^y,K_AS
A,decrypt,ID_B,K_AS
A,hash,K_AB, 
A,hash,ID_B, 
A,send,K_AB, 
A,send,ID_B, 
B,receive,K_AB, 
B,receive,ID_B, 
