,pp,ap,mp,kp
0,A,send,ID_A,
1,A,send,ID_B,
2,A,send,a^x,
3,B,receive,ID_A,
4,B,receive,ID_B,
5,B,receive,a^x,
6,B,encrypt,ID_A,K_BS
7,B,encrypt,ID_B,K_BS
8,B,encrypt,a^y,K_BS
9,B,encrypt,ID_A,K_AB
10,B,encrypt,a^x,K_AB
11,B,encrypt,a^y,K_AB
12,B,send,ID_A,K_BS
13,B,send,ID_B,K_BS
14,B,send,a^y,K_BS
15,B,send,ID_A,K_AB
16,B,send,a^x,K_AB
17,B,send,a^y,K_AB
18,S,receive,ID_A,K_BS
19,S,receive,ID_B,K_BS
20,S,receive,a^y,K_BS
21,S,receive,ID_A,K_AB
22,S,receive,a^x,K_AB
23,S,receive,a^y,K_AB
24,S,decrypt,ID_A,K_BS
25,S,decrypt,ID_B,K_BS
26,S,decrypt,a^y,K_BS
27,S,encrypt,ID_A,K_AS
28,S,encrypt,ID_B,K_AS
29,S,encrypt,a^y,K_AS
30,S,encrypt,ID_A,K_AB
31,S,encrypt,a^x,K_AB
32,S,encrypt,a^y,K_AB
33,S,send,ID_A,K_AS
34,S,send,ID_B,K_AS
35,S,send,a^y,K_AS
36,S,send,ID_A,K_AB
37,S,send,a^x,K_AB
38,S,send,a^y,K_AB
39,A,receive,ID_A,K_AS
40,A,receive,ID_B,K_AS
41,A,receive,a^y,K_AS
42,A,receive,ID_A,K_AB
43,A,receive,a^x,K_AB
44,A,receive,a^y,K_AB
45,A,decrypt,ID_A,K_AS
46,A,decrypt,ID_B,K_AS
47,A,decrypt,a^y,K_AS
48,A,decrypt,ID_A,K_AB
49,A,decrypt,a^x,K_AB
50,A,decrypt,a^y,K_AB
51,A,encrypt,ID_B,K_AB
52,A,encrypt,a^x,K_AB
53,A,encrypt,a^y,K_AB
54,A,send,ID_B,K_AB
55,A,send,a^x,K_AB
56,A,send,a^y,K_AB
57,B,receive,ID_B,K_AB
58,B,receive,a^x,K_AB
59,B,receive,a^y,K_AB
60,B,decrypt,ID_B,K_AB
61,B,decrypt,a^x,K_AB
62,B,decrypt,a^y,K_AB
