,pp,ap,mp,kp
0,A,new,N_A,
1,A,new,N_A^',
2,A,send,N_A,
3,A,send,N_A^',
4,B,receive,N_A,
5,B,receive,N_A^',
6,B,new,N_B,
7,B,encrypt,N_B,K_BS
8,B,encrypt,N_A,K_BS
9,B,encrypt,ID_A,K_BS
10,B,encrypt,K_AB,K_BS
11,B,new,N_B^',
12,B,send,N_B,K_BS
13,B,send,N_A,K_BS
14,B,send,ID_A,K_BS
15,B,send,K_AB,K_BS
16,B,send,N_B^',
17,S,receive,N_B,K_BS
18,S,receive,N_A,K_BS
19,S,receive,ID_A,K_BS
20,S,receive,K_AB,K_BS
21,S,receive,N_B^',
22,S,decrypt,N_B,K_BS
23,S,decrypt,N_A,K_BS
24,S,decrypt,ID_A,K_BS
25,S,decrypt,K_AB,K_BS
26,S,encrypt,N_B,K_BS
27,S,encrypt,ID_A,K_BS
28,S,encrypt,N_A,K_AS
29,S,encrypt,K_AB,K_AS
30,S,encrypt,ID_B,K_AS
31,S,send,N_B,K_BS
32,S,send,ID_A,K_BS
33,S,send,N_A,K_AS
34,S,send,K_AB,K_AS
35,S,send,ID_B,K_AS
36,B,receive,N_B,K_BS
37,B,receive,ID_A,K_BS
38,B,receive,N_A,K_AS
39,B,receive,K_AB,K_AS
40,B,receive,ID_B,K_AS
41,B,decrypt,N_B,K_BS
42,B,decrypt,ID_A,K_BS
43,B,encrypt,N_A,K_AS
44,B,encrypt,K_AB,K_AS
45,B,encrypt,ID_B,K_AS
46,B,send,N_A,K_AS
47,B,send,K_AB,K_AS
48,B,send,ID_B,K_AS
49,A,receive,N_A,K_AS
50,A,receive,K_AB,K_AS
51,A,receive,ID_B,K_AS
52,A,decrypt,N_A,K_AS
53,A,decrypt,K_AB,K_AS
54,A,decrypt,ID_B,K_AS
